UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Machine Name,Vibration [mm/s]
268,L15268,L,299.9,309.3,1458,47.8,44,0,0,0,0,0,0,Grinding Machine-03,1.81
269,L15269,L,304.9,313.7,1250,58.8,193,0,0,0,0,0,0,Milling Machine-01,0.97
270,L15270,L,302.6,311.5,1475,45.5,145,0,0,0,0,0,0,Milling Machine-02,1.05
271,M15271,M,302.5,311.5,1475,54.1,106,0,0,0,0,0,0,Electric Arc Furnace-02,2.06
272,M15272,M,299.6,309.8,1534,46.5,38,0,0,0,0,0,0,Billet Caster-01,1.04
273,M15273,M,306.7,315.2,1200,78.3,209,1,1,0,0,0,0,Billet Caster-02,3.54
274,H15274,H,303.9,312.5,1230,61.6,134,1,0,1,1,0,0,Heavy Press-03,4.23
275,H15275,H,304.6,313.8,1278,63.9,204,0,0,0,0,0,0,BOF Converter-01,1.19
276,L15276,L,304.2,313.5,1275,59.3,197,0,0,0,0,0,0,Milling Machine-03,1.7
277,L15277,L,303.0,311.5,1271,60.3,130,1,0,0,0,1,0,Drill Press-01,4.81
278,H15278,H,303.1,311.7,1432,50.9,159,0,0,0,0,0,0,BOF Converter-02,1.39
279,M15279,M,305.9,314.4,1200,73.5,195,1,0,0,1,1,0,Galvanizing Line-01,3.71
280,L15280,L,299.7,308.9,1600,41.5,19,0,0,0,0,0,0,Drill Press-02,1.24
281,M15281,M,302.4,312.0,1415,51.4,150,0,0,0,0,0,0,Galvanizing Line-02,0.77
282,M15282,M,305.4,314.1,1229,64.6,209,0,0,0,0,0,0,Annealing Furnace-01,1.5
283,M15283,M,299.2,308.8,1597,34.0,25,0,0,0,0,0,0,Annealing Furnace-02,0.47
284,L15284,L,299.0,309.2,1636,36.6,23,0,0,0,0,0,0,Drill Press-03,2.16
285,M15285,M,302.9,311.4,1407,49.6,165,0,0,0,0,0,0,CNC Machine-01,1.53
286,H15286,H,305.3,314.5,1200,71.9,237,0,0,0,0,0,0,Slab Caster-01,1.75
287,L15287,L,303.0,312.0,1304,62.5,124,1,0,0,0,1,0,Cooling Tower Fan-01,4.97
288,M15288,M,305.1,313.9,1312,61.7,202,0,0,0,0,0,0,CNC Machine-02,1.26
289,H15289,H,304.4,313.3,1200,67.0,160,1,0,0,1,1,0,Slab Caster-02,2.08
290,H15290,H,300.8,310.6,1425,46.0,78,0,0,0,0,0,0,Torpedo Ladle-01,1.63
291,H15291,H,304.1,312.0,1389,52.3,158,0,0,0,0,0,0,Torpedo Ladle-02,0.69
292,M15292,M,300.8,310.6,1622,36.4,66,0,0,0,0,0,0,CNC Machine-03,0.75
293,M15293,M,304.2,313.2,1350,54.9,170,0,0,0,0,0,0,CNC Machine-04,1.44
294,M15294,M,301.1,310.6,1598,45.9,75,0,0,0,0,0,0,Cold Rolling Mill-01,0.7
295,L15295,L,302.4,311.5,1413,53.5,113,0,0,0,0,0,0,Cooling Tower Fan-02,0.74
296,M15296,M,302.5,311.6,1399,49.9,146,0,0,0,0,0,0,Cold Rolling Mill-02,1.02
297,H15297,H,301.2,310.5,1596,46.6,71,0,0,0,0,0,0,Lime Kiln-01,0.44
298,L15298,L,299.3,309.3,1580,51.8,46,0,0,0,0,0,0,Scrap Shredder-01,0.88
299,L15299,L,303.3,311.9,1249,63.1,130,1,0,0,0,1,0,Scrap Shredder-02,4.9
300,L15300,L,299.7,309.3,1474,44.5,42,0,0,0,0,0,0,Pellet Screening Unit-01,1.03
301,M15301,M,305.1,314.8,1200,73.2,232,0,0,0,0,0,0,Cold Rolling Mill-03,1.32
302,H15302,H,304.8,313.8,1283,62.7,204,0,0,0,0,0,0,Lime Kiln-02,0.61
303,M15303,M,306.0,315.4,1200,70.9,234,0,0,0,0,0,0,Lathe Machine-01,1.45
304,H15304,H,302.1,311.3,1425,48.0,92,0,0,0,0,0,0,Ore Sintering Machine-01,1.47
305,L15305,L,307.2,316.3,1200,84.7,234,1,0,0,0,1,0,Pellet Screening Unit-02,4.42
306,L15306,L,304.9,313.4,1310,62.1,196,0,0,0,0,0,0,Water Pump Station-01,1.72
307,H15307,H,305.5,314.4,1202,70.1,232,0,0,0,0,0,0,Ore Sintering Machine-02,1.62
308,M15308,M,302.7,311.6,1404,51.7,152,0,0,0,0,0,0,Lathe Machine-02,1.21
309,L15309,L,305.4,313.6,1200,72.8,166,1,1,1,0,0,0,Conveyor Belt-01,4.22
310,L15310,L,299.5,309.1,1562,40.7,46,0,0,0,0,0,0,Conveyor Belt-02,0.75
311,L15311,L,298.4,309.1,1480,49.9,3,0,0,0,0,0,0,Conveyor Belt-03,1.82
312,L15312,L,302.5,311.2,1462,46.8,141,0,0,0,0,0,0,Conveyor Belt-04,1.35
313,H15313,H,305.0,314.2,1243,64.7,203,0,0,0,0,0,0,Coke Oven Battery-01,1.55
314,L15314,L,300.4,309.7,1597,42.5,51,0,0,0,0,0,0,Grinding Machine-01,0.63
315,M15315,M,298.6,309.4,1614,39.8,16,0,0,0,0,0,0,Lathe Machine-03,1.49
316,M15316,M,301.4,310.7,1514,42.6,121,0,0,0,0,0,0,Hydraulic Press-01,2.22
317,L15317,L,300.1,309.6,1549,47.2,60,0,0,0,0,0,0,Grinding Machine-02,1.8
318,H15318,H,307.2,315.8,1200,83.2,230,1,0,1,1,0,0,Blast Furnace-01,3.75
319,L15319,L,297.8,308.9,1520,39.1,18,0,0,0,0,0,0,Grinding Machine-03,1.63
320,M15320,M,302.0,310.7,1597,39.6,90,0,0,0,0,0,0,Hydraulic Press-02,1.8
321,L15321,L,303.1,311.8,1200,61.7,127,1,0,0,0,1,0,Milling Machine-01,5.2
322,M15322,M,298.4,308.8,1599,37.0,19,0,0,0,0,0,0,Electric Arc Furnace-01,1.42
323,M15323,M,302.8,312.4,1435,49.6,159,0,0,0,0,0,0,Electric Arc Furnace-02,1.75
324,M15324,M,302.6,311.1,1425,51.1,108,0,0,0,0,0,0,Billet Caster-01,1.5
325,L15325,L,304.9,314.4,1200,73.1,173,1,1,1,0,0,0,Milling Machine-02,3.71
326,H15326,H,304.2,313.3,1371,57.1,177,0,0,0,0,0,0,Blast Furnace-02,1.41
327,L15327,L,298.5,308.8,1553,38.3,20,0,0,0,0,0,0,Milling Machine-03,1.53
328,M15328,M,301.4,310.6,1512,45.4,127,0,0,0,0,0,0,Billet Caster-02,2.05
329,M15329,M,301.5,310.1,1537,41.1,116,0,0,0,0,0,0,Galvanizing Line-01,1.84
330,H15330,H,299.4,309.0,1585,45.4,34,0,0,0,0,0,0,Blast Furnace-03,0.79
331,H15331,H,304.8,313.3,1200,73.1,153,1,0,0,1,1,0,Hot Rolling Mill-01,2.27
332,M15332,M,297.5,308.4,1456,40.3,12,0,0,0,0,0,0,Galvanizing Line-02,0.3
333,L15333,L,299.4,308.9,1623,36.3,24,0,0,0,0,0,0,Drill Press-01,2.48
334,H15334,H,305.0,313.9,1244,66.4,206,0,0,0,0,0,0,Hot Rolling Mill-02,0.83
335,L15335,L,298.4,308.6,1427,38.6,5,0,0,0,0,0,0,Drill Press-02,1.19
336,H15336,H,302.4,311.2,1470,45.0,135,0,0,0,0,0,0,Hot Rolling Mill-03,1.03
337,H15337,H,306.6,316.3,1200,79.5,228,1,0,1,1,0,0,Heavy Press-01,2.79
338,H15338,H,302.5,311.4,1395,55.4,94,1,0,1,0,0,0,Heavy Press-02,3.28
339,M15339,M,301.1,310.4,1492,47.6,127,0,0,0,0,0,0,Annealing Furnace-01,1.91
340,L15340,L,303.2,310.9,1465,46.7,145,0,0,0,0,0,0,Drill Press-03,0.48
341,M15341,M,301.8,310.9,1540,39.5,86,0,0,0,0,0,0,Annealing Furnace-02,1.97
342,M15342,M,302.6,312.2,1480,48.1,161,0,0,0,0,0,0,CNC Machine-01,1.47
343,H15343,H,299.8,309.8,1591,43.5,55,0,0,0,0,0,0,Heavy Press-03,1.57
344,M15344,M,305.3,314.8,1224,69.9,225,0,0,0,0,0,0,CNC Machine-02,0.92
345,H15345,H,305.0,314.2,1271,63.8,208,0,0,0,0,0,0,BOF Converter-01,0.3
346,M15346,M,301.1,309.9,1484,44.6,85,0,0,0,0,0,0,CNC Machine-03,0.3
347,L15347,L,299.4,309.1,1540,43.2,24,0,0,0,0,0,0,Cooling Tower Fan-01,1.83
348,M15348,M,305.0,314.9,1200,69.4,219,0,0,0,0,0,0,CNC Machine-04,1.65
349,M15349,M,302.9,312.3,1402,51.0,166,0,0,0,0,0,0,Cold Rolling Mill-01,1.52
350,H15350,H,302.0,311.6,1509,44.3,134,0,0,0,0,0,0,BOF Converter-02,1.78
351,L15351,L,304.9,314.3,1200,73.6,170,1,1,1,0,0,0,Cooling Tower Fan-02,4.46
352,M15352,M,305.2,314.2,1200,67.6,218,0,0,0,0,0,0,Cold Rolling Mill-02,2.13
353,H15353,H,299.6,309.3,1563,41.4,31,0,0,0,0,0,0,Slab Caster-01,1.23
354,M15354,M,302.2,311.8,1302,57.8,111,1,0,0,1,0,0,Cold Rolling Mill-03,2.35
355,H15355,H,301.8,311.0,1532,43.5,132,0,0,0,0,0,0,Slab Caster-02,0.43
356,H15356,H,304.5,313.6,1300,63.4,203,0,0,0,0,0,0,Torpedo Ladle-01,1.36
357,L15357,L,302.2,311.2,1391,52.3,117,0,0,0,0,0,0,Scrap Shredder-01,0.51
358,M15358,M,302.1,310.9,1512,44.7,123,0,0,0,0,0,0,Lathe Machine-01,2.03
359,M15359,M,298.5,308.3,1610,34.6,18,0,0,0,0,0,0,Lathe Machine-02,1.57
360,L15360,L,300.1,309.3,1428,47.9,42,0,0,0,0,0,0,Scrap Shredder-02,1.57
361,H15361,H,303.5,312.5,1430,51.1,160,0,0,0,0,0,0,Torpedo Ladle-02,1.64
362,H15362,H,302.3,310.8,1484,43.2,135,0,0,0,0,0,0,Lime Kiln-01,0.91
363,H15363,H,303.9,313.7,1292,57.7,183,0,0,0,0,0,0,Lime Kiln-02,0.41
364,H15364,H,305.5,315.1,1200,69.6,234,0,0,0,0,0,0,Ore Sintering Machine-01,0.89
365,M15365,M,306.1,315.6,1200,78.7,199,1,0,0,1,1,0,Lathe Machine-03,3.26
366,L15366,L,299.5,309.0,1639,42.5,29,0,0,0,0,0,0,Pellet Screening Unit-01,1.55
367,H15367,H,301.8,311.2,1525,47.4,134,0,0,0,0,0,0,Ore Sintering Machine-02,0.41
368,M15368,M,301.0,309.9,1504,44.1,122,0,0,0,0,0,0,Hydraulic Press-01,2.45
369,M15369,M,303.8,312.9,1243,66.2,140,1,1,0,0,0,0,Hydraulic Press-02,2.13
370,M15370,M,305.0,314.1,1271,59.6,200,0,0,0,0,0,0,Electric Arc Furnace-01,0.69
371,M15371,M,300.5,309.6,1457,47.1,59,0,0,0,0,0,0,Electric Arc Furnace-02,1.06
372,M15372,M,300.6,309.2,1562,42.1,53,0,0,0,0,0,0,Billet Caster-01,0.69
373,L15373,L,298.1,308.1,1474,48.0,5,0,0,0,0,0,0,Pellet Screening Unit-02,1.62
374,M15374,M,300.7,310.4,1544,42.6,84,0,0,0,0,0,0,Billet Caster-02,0.52
375,H15375,H,303.6,312.5,1370,52.5,158,0,0,0,0,0,0,Coke Oven Battery-01,0.78
376,M15376,M,301.0,309.4,1410,49.2,59,0,0,0,0,0,0,Galvanizing Line-01,1.21
377,H15377,H,301.5,311.2,1370,51.9,100,1,1,0,0,0,0,Blast Furnace-01,2.44
378,L15378,L,300.1,309.8,1608,42.2,60,0,0,0,0,0,0,Water Pump Station-01,0.6
379,M15379,M,304.7,314.7,1249,68.3,220,0,0,0,0,0,0,Galvanizing Line-02,1.87
380,M15380,M,301.2,310.1,1586,45.5,77,0,0,0,0,0,0,Annealing Furnace-01,1.24
381,L15381,L,301.0,309.9,1419,48.4,76,0,0,0,0,0,0,Conveyor Belt-01,1.61
382,M15382,M,298.4,309.3,1558,36.6,19,0,0,0,0,0,0,Annealing Furnace-02,2.03
383,H15383,H,304.8,313.3,1200,69.3,152,1,0,0,1,1,0,Blast Furnace-02,2.58
384,L15384,L,302.6,311.3,1517,46.8,148,0,0,0,0,0,0,Conveyor Belt-02,0.73
385,L15385,L,302.4,311.8,1461,46.1,140,0,0,0,0,0,0,Conveyor Belt-03,1.48
386,M15386,M,302.7,311.3,1422,49.0,150,0,0,0,0,0,0,CNC Machine-01,1.74
387,M15387,M,304.6,313.0,1319,58.3,193,0,0,0,0,0,0,CNC Machine-02,1.07
388,L15388,L,305.6,314.5,1224,68.2,220,0,0,0,0,0,0,Conveyor Belt-04,1.36
389,M15389,M,303.1,312.3,1389,50.5,160,0,0,0,0,0,0,CNC Machine-03,1.76
390,M15390,M,304.9,314.4,1211,62.6,212,0,0,0,0,0,0,CNC Machine-04,1.46
391,H15391,H,306.0,314.7,1200,66.8,234,0,0,0,0,0,0,Blast Furnace-03,1.36
392,H15392,H,304.2,313.3,1391,55.4,181,0,0,0,0,0,0,Hot Rolling Mill-01,1.27
393,L15393,L,299.2,309.3,1543,39.8,28,0,0,0,0,0,0,Grinding Machine-01,1.89
394,M15394,M,297.9,308.9,1373,42.3,15,0,0,0,0,0,0,Cold Rolling Mill-01,0.53
395,M15395,M,304.3,312.9,1305,58.1,184,0,0,0,0,0,0,Cold Rolling Mill-02,0.3
396,M15396,M,301.1,310.0,1587,45.5,80,0,0,0,0,0,0,Cold Rolling Mill-03,1.68
397,M15397,M,297.8,308.1,1700,35.5,15,0,0,0,0,0,0,Lathe Machine-01,1.59
398,L15398,L,302.7,310.9,1391,53.6,115,0,0,0,0,0,0,Grinding Machine-02,0.88
399,M15399,M,303.0,312.2,1420,51.1,150,0,0,0,0,0,0,Lathe Machine-02,0.89
400,H15400,H,303.4,312.0,1390,51.9,166,0,0,0,0,0,0,Hot Rolling Mill-02,0.32
401,L15401,L,300.6,309.9,1623,43.4,64,0,0,0,0,0,0,Grinding Machine-03,1.32
402,H15402,H,304.9,314.3,1287,62.1,202,0,0,0,0,0,0,Hot Rolling Mill-03,0.92
403,H15403,H,303.1,311.4,1409,50.9,154,0,0,0,0,0,0,Heavy Press-01,1.08
404,L15404,L,298.0,308.9,1539,40.3,16,0,0,0,0,0,0,Milling Machine-01,1.6
405,H15405,H,302.2,310.1,1323,51.8,98,1,1,0,0,0,0,Heavy Press-02,3.08
406,H15406,H,303.3,311.8,1281,67.5,133,1,0,1,1,0,0,Heavy Press-03,4.07
407,M15407,M,303.1,311.3,1323,56.8,117,1,0,0,1,0,0,Lathe Machine-03,1.75
408,H15408,H,302.4,310.7,1373,50.2,102,1,1,0,0,0,0,BOF Converter-01,2.17
409,L15409,L,305.1,314.3,1225,64.7,225,0,0,0,0,0,0,Milling Machine-02,1.44
410,H15410,H,304.7,314.2,1301,62.1,210,0,0,0,0,0,0,BOF Converter-02,0.37
411,H15411,H,301.8,310.8,1519,44.5,129,0,0,0,0,0,0,Slab Caster-01,0.64
412,L15412,L,304.2,313.6,1254,57.1,192,0,0,0,0,0,0,Milling Machine-03,1.98
413,L15413,L,302.2,311.8,1484,47.6,142,0,0,0,0,0,0,Drill Press-01,0.59
414,M15414,M,299.6,309.3,1604,40.4,56,0,0,0,0,0,0,Hydraulic Press-01,1.73
415,L15415,L,303.7,312.7,1378,53.6,164,0,0,0,0,0,0,Drill Press-02,1.46
416,L15416,L,299.8,308.8,1539,48.3,47,0,0,0,0,0,0,Drill Press-03,0.6
417,M15417,M,304.5,313.0,1266,67.1,141,1,1,0,0,0,0,Hydraulic Press-02,2.01
418,H15418,H,305.6,314.8,1200,68.7,235,0,0,0,0,0,0,Slab Caster-02,1.39
419,L15419,L,305.0,314.2,1219,65.8,220,0,0,0,0,0,0,Cooling Tower Fan-01,1.18
420,M15420,M,302.0,311.5,1450,49.6,99,0,0,0,0,0,0,Electric Arc Furnace-01,0.75
421,M15421,M,306.0,315.0,1200,79.1,195,1,0,0,1,1,0,Electric Arc Furnace-02,4.48
422,M15422,M,299.8,309.1,1517,38.8,45,0,0,0,0,0,0,Billet Caster-01,1.41
423,L15423,L,298.5,308.9,1425,42.2,8,0,0,0,0,0,0,Cooling Tower Fan-02,0.51
424,H15424,H,299.9,309.1,1557,44.2,37,0,0,0,0,0,0,Torpedo Ladle-01,1.31
425,M15425,M,301.4,310.5,1540,48.2,127,0,0,0,0,0,0,Billet Caster-02,1.53
426,H15426,H,304.5,314.6,1255,61.2,211,0,0,0,0,0,0,Torpedo Ladle-02,0.83
427,M15427,M,300.8,311.1,1564,43.9,73,0,0,0,0,0,0,Galvanizing Line-01,0.84
428,H15428,H,301.3,310.2,1404,45.7,72,0,0,0,0,0,0,Lime Kiln-01,1.77
429,L15429,L,305.3,314.0,1201,66.2,218,0,0,0,0,0,0,Scrap Shredder-01,0.93
430,M15430,M,304.9,313.9,1261,66.8,211,0,0,0,0,0,0,Galvanizing Line-02,1.51
431,M15431,M,305.5,314.3,1200,66.5,227,0,0,0,0,0,0,Annealing Furnace-01,1.45
432,M15432,M,300.3,309.5,1442,45.0,57,0,0,0,0,0,0,Annealing Furnace-02,1.29
433,L15433,L,301.9,309.7,1509,43.3,118,0,0,0,0,0,0,Scrap Shredder-02,1.87
434,H15434,H,301.7,310.6,1564,41.4,130,0,0,0,0,0,0,Lime Kiln-02,2.0
435,M15435,M,302.9,311.9,1433,51.7,146,0,0,0,0,0,0,CNC Machine-01,1.16
436,M15436,M,303.1,312.8,1428,49.1,149,0,0,0,0,0,0,CNC Machine-02,0.41
437,H15437,H,299.6,308.9,1608,43.9,32,0,0,0,0,0,0,Ore Sintering Machine-01,0.47
438,L15438,L,299.9,309.8,1565,49.7,43,0,0,0,0,0,0,Pellet Screening Unit-01,0.99
439,M15439,M,302.9,311.5,1440,48.5,154,0,0,0,0,0,0,CNC Machine-03,1.61
440,H15440,H,304.5,313.1,1363,56.5,174,0,0,0,0,0,0,Ore Sintering Machine-02,1.27
441,M15441,M,303.2,311.3,1431,51.9,161,0,0,0,0,0,0,CNC Machine-04,2.31
442,L15442,L,299.1,309.2,1587,39.9,26,0,0,0,0,0,0,Pellet Screening Unit-02,0.96
443,M15443,M,301.0,310.3,1591,45.9,80,0,0,0,0,0,0,Cold Rolling Mill-01,0.58
444,H15444,H,305.4,314.8,1210,68.3,229,0,0,0,0,0,0,Coke Oven Battery-01,1.16
445,M15445,M,302.9,312.2,1406,62.5,117,1,0,0,1,0,0,Cold Rolling Mill-02,2.71
446,H15446,H,302.1,311.1,1397,53.4,94,1,1,0,0,0,0,Blast Furnace-01,2.14
447,H15447,H,299.4,308.7,1583,40.5,33,0,0,0,0,0,0,Blast Furnace-02,1.12
448,L15448,L,298.2,309.2,1416,46.5,7,0,0,0,0,0,0,Water Pump Station-01,1.62
449,L15449,L,304.4,313.3,1350,61.1,195,0,0,0,0,0,0,Conveyor Belt-01,1.75
450,H15450,H,307.1,315.7,1200,79.1,233,1,0,1,1,0,0,Blast Furnace-03,3.7
451,L15451,L,304.2,313.5,1272,60.4,189,0,0,0,0,0,0,Conveyor Belt-02,0.3
452,L15452,L,301.9,310.3,1604,44.9,87,0,0,0,0,0,0,Conveyor Belt-03,0.85
453,H15453,H,304.4,313.5,1259,64.5,203,0,0,0,0,0,0,Hot Rolling Mill-01,0.8
454,M15454,M,299.0,308.6,1662,39.0,19,0,0,0,0,0,0,Cold Rolling Mill-03,0.72
455,M15455,M,300.2,309.6,1554,38.3,59,0,0,0,0,0,0,Lathe Machine-01,1.63
456,L15456,L,302.2,311.3,1449,45.4,144,0,0,0,0,0,0,Conveyor Belt-04,0.82
457,M15457,M,302.4,311.7,1427,48.1,144,0,0,0,0,0,0,Lathe Machine-02,2.07
458,L15458,L,299.8,309.0,1607,39.9,27,0,0,0,0,0,0,Grinding Machine-01,0.51
459,H15459,H,303.1,312.9,1421,51.7,162,0,0,0,0,0,0,Hot Rolling Mill-02,0.32
460,M15460,M,298.6,308.5,1554,43.7,0,0,0,0,0,0,0,Lathe Machine-03,1.15
461,H15461,H,304.9,314.3,1268,59.7,206,0,0,0,0,0,0,Hot Rolling Mill-03,0.4
462,H15462,H,302.4,311.6,1379,46.8,98,0,0,0,0,0,0,Heavy Press-01,1.4
463,L15463,L,299.8,309.6,1468,47.5,38,0,0,0,0,0,0,Grinding Machine-02,1.08
464,L15464,L,303.7,312.8,1392,52.5,168,0,0,0,0,0,0,Grinding Machine-03,0.76
465,M15465,M,305.6,314.4,1217,68.9,225,0,0,0,0,0,0,Hydraulic Press-01,1.75
466,H15466,H,304.2,313.2,1349,59.2,178,0,0,0,0,0,0,Heavy Press-02,1.06
467,M15467,M,305.0,314.3,1200,70.9,226,0,0,0,0,0,0,Hydraulic Press-02,0.87
468,H15468,H,304.6,313.3,1200,70.9,152,1,0,0,1,1,0,Heavy Press-03,2.35
469,H15469,H,299.2,308.7,1568,43.7,38,0,0,0,0,0,0,BOF Converter-01,0.93
470,L15470,L,299.9,308.9,1629,40.3,23,0,0,0,0,0,0,Milling Machine-01,0.68
471,H15471,H,301.0,310.0,1540,41.6,68,0,0,0,0,0,0,BOF Converter-02,1.66
472,M15472,M,304.0,313.0,1260,69.5,139,1,1,0,0,0,0,Electric Arc Furnace-01,1.9
473,H15473,H,299.8,309.0,1565,40.0,33,0,0,0,0,0,0,Slab Caster-01,0.3
474,L15474,L,300.2,309.2,1640,41.4,71,0,0,0,0,0,0,Milling Machine-02,1.44
475,H15475,H,301.2,310.2,1581,44.8,72,0,0,0,0,0,0,Slab Caster-02,0.85
476,H15476,H,302.7,312.3,1453,51.2,157,0,0,0,0,0,0,Torpedo Ladle-01,1.56
477,H15477,H,301.8,310.9,1492,44.6,132,0,0,0,0,0,0,Torpedo Ladle-02,1.1
478,M15478,M,305.8,315.0,1200,72.3,235,0,0,0,0,0,0,Electric Arc Furnace-02,1.55
479,L15479,L,298.2,309.1,1393,38.9,1,0,0,0,0,0,0,Milling Machine-03,1.52
480,M15480,M,303.3,313.0,1362,55.8,173,0,0,0,0,0,0,Billet Caster-01,2.17
481,H15481,H,304.8,314.3,1252,61.6,203,0,0,0,0,0,0,Lime Kiln-01,1.75
482,L15482,L,297.4,308.1,1473,48.5,4,0,0,0,0,0,0,Drill Press-01,0.65
483,H15483,H,304.7,313.9,1242,62.1,209,0,0,0,0,0,0,Lime Kiln-02,1.68
484,M15484,M,302.5,311.0,1460,45.9,137,0,0,0,0,0,0,Billet Caster-02,0.62
485,H15485,H,305.0,313.8,1256,64.0,200,0,0,0,0,0,0,Ore Sintering Machine-01,1.45
486,M15486,M,303.9,313.0,1200,70.5,140,1,1,0,0,0,0,Galvanizing Line-01,1.97
487,H15487,H,305.5,314.5,1200,72.6,192,1,0,1,0,1,0,Ore Sintering Machine-02,4.28
488,M15488,M,303.1,311.2,1437,48.2,149,0,0,0,0,0,0,Galvanizing Line-02,1.91
489,L15489,L,304.7,313.3,1250,59.1,195,0,0,0,0,0,0,Drill Press-02,1.52
490,L15490,L,300.6,310.4,1494,41.7,118,0,0,0,0,0,0,Drill Press-03,1.7
491,L15491,L,299.9,309.4,1445,46.9,40,0,0,0,0,0,0,Cooling Tower Fan-01,0.95
492,L15492,L,299.7,309.3,1544,50.4,48,0,0,0,0,0,0,Cooling Tower Fan-02,0.51
493,M15493,M,300.7,310.5,1474,42.4,82,0,0,0,0,0,0,Annealing Furnace-01,0.38
494,M15494,M,304.5,313.6,1310,60.2,190,0,0,0,0,0,0,Annealing Furnace-02,0.79
495,H15495,H,301.3,309.5,1622,44.3,82,0,0,0,0,0,0,Coke Oven Battery-01,1.0
496,H15496,H,307.7,315.8,1200,76.2,233,1,0,1,1,0,0,Blast Furnace-01,2.78
497,H15497,H,299.6,309.0,1379,43.5,34,0,0,0,0,0,0,Blast Furnace-02,1.63
498,L15498,L,299.6,308.7,1633,35.4,23,0,0,0,0,0,0,Scrap Shredder-01,2.27
499,H15499,H,300.5,309.8,1659,39.8,50,0,0,0,0,0,0,Blast Furnace-03,0.62
500,H15500,H,299.9,309.3,1596,42.7,53,0,0,0,0,0,0,Hot Rolling Mill-01,1.64
